Model,Image,Has_Lesion,GT_Lesion_Pixels,Pred_Lesion_Pixels,Case_Lesion_Dice
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice064.png,1,2830,2797,0.9583930966301377
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice065.png,1,2783,2798,0.9522002293225171
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice066.png,1,2877,2816,0.9540493246322403
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice067.png,1,2675,2754,0.9406095286145508
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice070.png,1,2542,2589,0.9566176545064956
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice071.png,1,2380,2467,0.9466345724696866
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice073.png,1,2533,2550,0.94326392859602
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice074.png,1,2327,2342,0.9537726354043374
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice076.png,1,2172,2261,0.9502991339381283
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice078.png,1,1880,1917,0.9418930277726636
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice079.png,1,1716,1779,0.9480643242890019
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice080.png,1,1658,1758,0.9401776607211692
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice081.png,1,1401,1475,0.9313817248317663
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice082.png,1,1354,1387,0.9498699469798073
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice083.png,1,1099,1091,0.9192534557829893
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice084.png,1,1125,1103,0.9225406225503144
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice086.png,1,905,926,0.9128141352580097
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice088.png,1,762,714,0.9064626550052345
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice090.png,1,274,291,0.9203539806719399
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice091.png,1,180,187,0.8719346025287885
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice092.png,1,157,156,0.8945686872377997
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice093.png,1,162,150,0.8974358945595003
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice094.png,1,103,95,0.7979797939495971
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice111.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice114.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice116.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice009.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice010.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice034.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice053.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice055.png,1,22,20,0.952380929705216
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice056.png,1,167,169,0.9523809495464852
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice058.png,1,630,642,0.9402515715878524
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice059.png,1,866,950,0.9284140964050582
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice061.png,1,1294,1362,0.9570783128926663
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice062.png,1,1442,1501,0.9391777095007892
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice063.png,1,1491,1591,0.9305645681601024
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice064.png,1,1648,1770,0.8431248678273435
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice065.png,1,1135,1208,0.8430635677604779
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice066.png,1,1344,1431,0.8087830796684725
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice067.png,1,1351,1420,0.8931108647565564
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice068.png,1,1325,1447,0.8881221680967991
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice069.png,1,1020,1179,0.9089949991074544
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice070.png,1,1038,1086,0.8866977485702232
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice071.png,1,960,1055,0.8373626349301614
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice072.png,1,1046,1056,0.8851416971573285
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice074.png,1,693,697,0.890889858207305
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice075.png,1,539,549,0.8913793069920481
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice076.png,1,466,472,0.8443496792704162
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice077.png,1,475,507,0.8533604879293681
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice078.png,1,494,506,0.865999999134
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice079.png,1,427,414,0.7990487505362084
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice080.png,1,427,373,0.78499999901875
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice082.png,1,296,256,0.7644927522382378
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice084.png,1,252,242,0.8016194315756692
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice086.png,1,217,259,0.8067226873808347
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice087.png,1,102,95,0.7106598948697468
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice089.png,1,153,204,0.7507002780092429
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice090.png,1,152,111,0.7300380200378782
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice091.png,1,147,142,0.8096885785131883
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice093.png,1,108,119,0.7136563845213375
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice094.png,1,45,21,0.42424241781450883
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice095.png,1,18,20,0.6315789307479229
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice096.png,1,113,101,0.6728971931173029
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice097.png,1,144,127,0.7749077462180526
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice098.png,1,64,55,0.7899159597486054
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice099.png,1,21,21,0.9047618832199552
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice100.png,1,201,156,0.7619047597705749
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice101.png,1,119,101,0.7636363601652892
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice103.png,1,211,199,0.8048780468173706
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice104.png,1,70,68,0.7536231829447596
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice106.png,1,69,53,0.6557376995431337
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice107.png,1,151,150,0.8106312265427534
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice108.png,1,131,98,0.8122270706889647
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice109.png,1,136,126,0.8167938900122371
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice111.png,1,47,43,0.9333333229629631
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice113.png,1,44,46,0.9555555449382718
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice115.png,1,6,6,0.9999999166666736
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice117.png,1,28,49,0.3376623332771126
Standard U-Net (Base),RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice118.png,1,45,55,0.799999992
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice017.png,0,0,3,
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice024.png,1,110,134,0.859504128679735
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice025.png,1,67,85,0.8815789415685596
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice027.png,1,173,177,0.902857140277551
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice028.png,1,187,215,0.8823529388172381
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice029.png,1,240,248,0.905737703062013
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice030.png,1,298,322,0.8936631894518378
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice031.png,1,304,335,0.8574069132392204
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice033.png,1,360,379,0.8687415414496055
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice035.png,1,450,469,0.8720092632907603
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice036.png,1,521,510,0.8178866366739919
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice038.png,1,857,942,0.887381224361782
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice039.png,1,1069,1018,0.8624766541119586
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice040.png,1,1023,1030,0.8406408616367765
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice041.png,1,1036,953,0.882662793943759
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice043.png,1,980,1066,0.8710422585362283
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice044.png,1,1066,1093,0.9430291797392176
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice047.png,1,1198,1316,0.8491854106911948
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice048.png,1,1196,1162,0.8744606397975734
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice049.png,1,1496,1584,0.8944369684894106
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice051.png,1,2013,2116,0.9021217584878508
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice052.png,1,2033,2129,0.917711058240994
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice053.png,1,2280,2269,0.9202688101900558
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice057.png,1,2688,2654,0.9516708829089504
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice058.png,1,2600,2590,0.946789394948282
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice059.png,1,2422,2412,0.941260653340591
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice060.png,1,2317,2373,0.94206670498026
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice062.png,1,1774,1861,0.9130607615420425
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice063.png,1,1433,1475,0.9139270397763211
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice064.png,1,1170,1338,0.9198322694326682
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice065.png,1,1031,1021,0.9307992198192987
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice066.png,1,779,897,0.8794749398093824
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice067.png,1,817,873,0.9034193155948294
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice069.png,1,835,828,0.9308478647439279
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice070.png,1,843,925,0.8823529406774021
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice071.png,1,1025,1047,0.9276061771584913
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice072.png,1,1112,1170,0.9000876420245015
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice075.png,1,1132,1147,0.9398859144625337
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice076.png,1,1014,1057,0.9347510870300866
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice078.png,1,1285,1265,0.9140592375767884
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice079.png,1,1166,1146,0.9472318335003324
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice080.png,1,1132,1155,0.9365981631234814
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice081.png,1,1049,1074,0.926505452381932
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice082.png,1,1135,1059,0.9288969913724262
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice083.png,1,849,864,0.9199762887255623
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice085.png,1,642,668,0.8686201565836825
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice090.png,1,645,600,0.8664687283568495
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice093.png,1,213,233,0.797659953756416
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice094.png,1,79,100,0.8783783724433893
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice096.png,1,50,63,0.9494949399040915
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice100.png,0,0,22,
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice103.png,1,41,50,0.8131868042506945
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice104.png,1,43,37,0.8749999890625002
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice106.png,1,15,13,0.9285713954081645
Standard U-Net (Base),RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice118.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice009.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice035.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice056.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice061.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice062.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice066.png,1,36,35,0.9295774516960923
Standard U-Net (Base),RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice068.png,1,28,25,0.9056603602705593
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice024.png,1,100,106,0.7087378606371949
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice025.png,1,187,181,0.9239130409676276
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice026.png,1,393,373,0.8720626620469156
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice029.png,1,398,414,0.9064039397704385
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice030.png,1,422,546,0.8565445017208958
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice031.png,1,566,612,0.9303904915701269
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice032.png,1,819,749,0.9298469381824955
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice036.png,1,905,1087,0.8975903609951855
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice037.png,1,1298,1256,0.9514487075366294
Standard U-Net (Base),RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice038.png,1,1425,1452,0.9384775804871472
