Model,Image,GT_Lesion_Pixels,Pred_Lesion_Pixels,Case_Lesion_Dice,Has_Lesion
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice116.png,0,0,,0
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice009.png,0,0,,0
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice010.png,0,0,,0
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice034.png,0,0,,0
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice053.png,0,0,,0
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice055.png,22,25,0.7659574305115441,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice056.png,167,178,0.9449275334929637,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice058.png,630,663,0.9450889397176419,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice059.png,866,966,0.9301310038590987,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice061.png,1294,1373,0.9553805770695987,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice062.png,1442,1580,0.9338186628279885,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice063.png,1491,1632,0.9362792184001668,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice064.png,1648,1871,0.750471653716801,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice065.png,1135,1304,0.8635510051503841,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice066.png,1344,1538,0.8367965330819638,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice067.png,1351,1513,0.9165965128746443,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice068.png,1325,1559,0.8607099109152144,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice069.png,1020,1248,0.8951618823785279,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice070.png,1038,1230,0.8761764829512987,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice071.png,960,1146,0.8309674480585256,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice072.png,1046,1164,0.8907012163766779,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice074.png,693,818,0.8617465587029227,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice075.png,539,595,0.8302092099730604,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice076.png,466,490,0.8535564844628071,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice077.png,475,532,0.8361469703712543,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice078.png,494,528,0.8493150676621183,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice079.png,427,465,0.8385650214814293,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice080.png,427,474,0.7591564919432225,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice082.png,296,271,0.747795413143218,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice084.png,252,260,0.7890624984588623,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice086.png,217,409,0.6421725229358266,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice087.png,102,114,0.7870370333933471,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice089.png,153,206,0.7520891343952949,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice090.png,152,117,0.7732341978690178,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice091.png,147,119,0.6917293207077845,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice093.png,108,118,0.6991150411543582,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice094.png,45,45,0.7111111032098767,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice095.png,18,37,0.4727272641322316,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice096.png,113,153,0.6766917267793544,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice097.png,144,172,0.759493668482615,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice098.png,64,48,0.7321428506058674,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice099.png,21,18,0.6666666495726501,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice100.png,201,150,0.7407407386303683,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice101.png,119,63,0.6153846120033812,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice103.png,211,197,0.7450980373894656,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice104.png,70,74,0.763888883584105,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice106.png,69,104,0.7052023080624145,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice107.png,151,125,0.710144924963243,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice108.png,131,121,0.8412698379314689,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice109.png,136,129,0.8226415063296547,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice111.png,47,43,0.8888888790123458,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice113.png,44,52,0.8749999908854168,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice115.png,6,4,0.7999999200000081,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice117.png,28,4,0.24999999218750027,1
nnU-Net Base,RET_Cirrus_091e68f597bb8e45ce9478363ef686b3_slice118.png,45,17,0.4516128959417275,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice017.png,0,0,,0
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice024.png,110,130,0.8583333297569444,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice025.png,67,59,0.7777777716049383,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice027.png,173,193,0.8907103800800263,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice028.png,187,165,0.8295454521887914,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice029.png,240,222,0.8701298682464722,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice030.png,298,273,0.839992795803618,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice031.png,304,331,0.8591372507050643,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice033.png,360,324,0.8508771917384836,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice035.png,450,476,0.856826627816131,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice036.png,521,504,0.7882800091659746,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice038.png,857,927,0.8846489770849539,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice039.png,1069,1106,0.8469954764321604,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice040.png,1023,1053,0.7950718479997947,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice041.png,1036,1017,0.8568261773474112,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice043.png,980,1068,0.8328735030371428,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice044.png,1066,1122,0.9405850087108845,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice047.png,1198,1311,0.8545243980351089,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice048.png,1196,1208,0.8471076189176703,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice049.png,1496,1684,0.8663831626732081,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice051.png,2013,2111,0.8883619250751669,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice052.png,2033,2169,0.9167787057109962,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice053.png,2280,2349,0.9187128440445562,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice057.png,2688,2733,0.9389279516675253,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice058.png,2600,2628,0.9545416209884814,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice059.png,2422,2513,0.936747393499993,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice060.png,2317,2323,0.9380066374755162,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice062.png,1774,1881,0.9147856979052851,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice063.png,1433,1509,0.918099952832941,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice064.png,1170,1233,0.9067486679839156,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice065.png,1031,982,0.9279682061957435,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice066.png,779,864,0.8874010950167978,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice067.png,817,866,0.8722519305571883,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice069.png,835,896,0.9081455800646183,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice070.png,843,931,0.9098083422154406,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice071.png,1025,1063,0.9272030646900369,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice072.png,1112,1209,0.8944420504547859,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice075.png,1132,1170,0.9452649865572263,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice076.png,1014,1092,0.9316239311815652,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice078.png,1285,1312,0.8733924619998541,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice079.png,1166,1182,0.9437819416764132,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice080.png,1132,1171,0.9474598345864266,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice081.png,1049,1099,0.9329608934204093,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice082.png,1135,1087,0.9441944190170143,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice083.png,849,866,0.9113185525604909,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice085.png,642,715,0.817041702007091,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice090.png,645,601,0.8381847839966123,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice093.png,213,241,0.8203914104628769,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice094.png,79,105,0.8539325794722888,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice096.png,50,38,0.7954545364152894,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice100.png,0,5,,0
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice103.png,41,52,0.817204292288126,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice104.png,43,43,0.9069767336398055,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice106.png,15,1,0.12499999218750048,1
nnU-Net Base,RET_Cirrus_1e0e71d2acdc57f10ab6712ab87b2ef7_slice118.png,0,0,,0
nnU-Net Base,RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice009.png,0,0,,0
nnU-Net Base,RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice035.png,0,0,,0
nnU-Net Base,RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice056.png,0,0,,0
nnU-Net Base,RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice061.png,0,0,,0
nnU-Net Base,RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice062.png,0,0,,0
nnU-Net Base,RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice066.png,36,46,0.780487795359905,1
nnU-Net Base,RET_Cirrus_3c68f67cd2e2b41afa54bf6059f509d1_slice068.png,28,25,0.9056603602705593,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice024.png,100,78,0.5842696596389345,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice025.png,187,218,0.8888888866941015,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice026.png,393,389,0.872122761033091,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice029.png,398,435,0.8955582222142158,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice030.png,422,502,0.8982683972962463,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice031.png,566,608,0.9131175460705983,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice032.png,819,764,0.9336702457778456,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice036.png,905,1073,0.9039433766916363,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice037.png,1298,1243,0.9563164104855111,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice038.png,1425,1457,0.9417071474872634,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice039.png,1405,1438,0.9419627151101081,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice040.png,1664,1705,0.8550074268683171,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice041.png,1607,1679,0.8844117615798854,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice042.png,1998,1910,0.8973387884299473,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice045.png,1805,1888,0.9350697372568304,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice046.png,2226,2307,0.9396758466375831,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice048.png,2309,2413,0.9514206516802877,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice049.png,2492,2635,0.9354416099941254,1
nnU-Net Base,RET_Cirrus_42533245b1c2cf49d9d5c554dbdee5a0_slice050.png,2725,2870,0.9440042381983038,1
